"solute1" "solute2" "solute3" 
0.652825 0.706185 0.333898 
0.783490 0.366534 0.292793 
0.763478 0.621824 0.790417 
0.273820 0.245982 0.342420 
0.290209 0.755539 0.285197 
0.279544 0.333821 0.297961 
0.753951 0.255204 0.408826 
0.643456 0.647529 0.785441 
0.652295 0.766588 0.267302 
0.734627 0.381557 0.218873 
0.728965 0.261645 0.240388 
0.780857 0.635825 0.768584 
0.204183 0.280572 0.373482 
0.630482 0.787743 0.258944 
0.160544 0.724590 0.295290 
0.179166 0.288990 0.402941 
0.758537 0.693562 0.765548 
0.718972 0.196961 0.351456 
0.626434 0.744047 0.250747 
0.274028 0.281040 0.346285 
0.732813 0.201696 0.263013 
0.764742 0.627871 0.771506 
0.782872 0.335774 0.742737 
0.583374 0.682310 0.783895 
0.733043 0.628131 0.303552 
0.317049 0.328194 0.326100 
0.708079 0.587440 0.787352 
0.685972 0.736987 0.214578 
0.258082 0.274245 0.396774 
0.692725 0.324646 0.275715 
0.673304 0.264183 0.321901 
0.697960 0.651277 0.761634 
0.220463 0.340812 0.339811 
0.199927 0.713906 0.250811 
0.170612 0.312514 0.288725 
0.654002 0.650389 0.237705 
0.671652 0.193831 0.306849 
0.733484 0.697316 0.833011 
0.770914 0.688158 0.204567 
0.676493 0.234119 0.326537 
0.227463 0.279817 0.391326 
0.609353 0.668267 0.698903 
0.237182 0.289022 0.410300 
0.684261 0.692594 0.785862 
0.268864 0.653123 0.279478 
0.700744 0.344213 0.286305 
0.699356 0.200291 0.721083 
0.678329 0.687188 0.334992 
0.616309 0.772813 0.654373 
0.233201 0.365963 0.268384 
0.194626 0.253077 0.296186 
0.708213 0.715333 0.728114 
0.703613 0.650968 0.243228 
0.648803 0.255182 0.769513 
0.594693 0.736694 0.320507 
0.665350 0.707095 0.771617 
0.253648 0.285303 0.345754 
0.684947 0.385685 0.272867 
0.682710 0.701757 0.776451 
0.703726 0.258837 0.245570 
0.173208 0.257140 0.312862 
0.614898 0.705680 0.296456 
0.371603 0.667175 0.323038 
0.748402 0.785429 0.779281 
0.636731 0.313247 0.224335 
0.238658 0.251549 0.363849 
0.660070 0.670402 0.252478 
0.757661 0.234469 0.803734 
0.641968 0.734151 0.736720 
0.219976 0.319380 0.334981 
0.678921 0.758455 0.780032 
0.728012 0.244228 0.360982 
0.621480 0.580164 0.322024 
0.255790 0.260829 0.252114 
0.649573 0.600683 0.808451 
0.658939 0.746706 0.220618 
0.238826 0.201309 0.360783 
0.777286 0.268116 0.378094 
0.720710 0.684482 0.741983 
0.256447 0.243582 0.296295 
0.754193 0.407709 0.383764 
0.720002 0.763599 0.241821 
0.675198 0.629368 0.850280 
0.280556 0.249411 0.271858 
0.354029 0.727556 0.279783 
0.751366 0.254096 0.377758 
0.279233 0.593803 0.261250 
0.713545 0.260430 0.277109 
0.700258 0.708729 0.855019 
0.218430 0.335005 0.377844 
0.184577 0.757108 0.338241 
0.722467 0.696755 0.776313 
0.680820 0.326025 0.229613 
0.257360 0.267684 0.291632 
0.715444 0.664357 0.732118 
0.224085 0.650373 0.342950 
0.188207 0.329487 0.378497 
0.746483 0.328859 0.235644 
0.658188 0.680040 0.816154 
0.633923 0.706080 0.245008 
0.205684 0.365869 0.355467 
0.717594 0.240359 0.345573 
0.706824 0.266256 0.222226 
0.200771 0.255564 0.285872 
0.684243 0.732888 0.873023 
0.711717 0.800597 0.356750 
0.650301 0.255044 0.314628 
0.235341 0.410351 0.342040 
0.687963 0.727116 0.324629 
0.765049 0.705122 0.822312 
0.666703 0.688384 0.859435 
0.288185 0.339805 0.264485 
0.661912 0.309431 0.345482 
0.327884 0.739582 0.405110 
0.745005 0.357253 0.648615 
0.312592 0.304680 0.314618 
0.553077 0.684998 0.711949 
0.699596 0.683995 0.310917 
0.629927 0.250224 0.354671 
0.639836 0.748753 0.220870 
0.696060 0.712714 0.735526 
0.190668 0.360580 0.374386 
0.607690 0.252392 0.744107 
0.789047 0.709284 0.793128 
0.644807 0.768953 0.297618 
0.182787 0.244349 0.263348 
0.762878 0.767481 0.758110 
0.207561 0.295071 0.390228 
0.717909 0.363395 0.214218 
0.622208 0.763242 0.342552 
0.741997 0.241050 0.261732 
0.224120 0.261046 0.309391 
0.650536 0.784354 0.298807 
0.597333 0.595586 0.790742 
0.707948 0.420063 0.764440 
0.287316 0.283749 0.423393 
0.576527 0.254140 0.231861 
0.747435 0.619411 0.250474 
0.581299 0.689411 0.738070 
0.341501 0.728103 0.328332 
0.741658 0.268227 0.239650 
0.195973 0.330673 0.412097 
0.668778 0.679498 0.812337 
0.343246 0.295789 0.223212 
0.728793 0.289796 0.294939 
0.308581 0.659806 0.269467 
0.726832 0.676027 0.860787 
0.289373 0.343594 0.256949 
0.680533 0.599529 0.864583 
0.542004 0.698091 0.365074 
0.684636 0.274484 0.355487 
0.199657 0.267589 0.323994 
0.632957 0.233354 0.308276 
0.670911 0.698217 0.750349 
0.734642 0.697309 0.354468 
0.271667 0.339470 0.332807 
0.653675 0.763179 0.811632 
0.748442 0.233562 0.724663 
0.655946 0.768046 0.321296 
0.699994 0.695770 0.329652 
0.633598 0.281432 0.307914 
0.290225 0.325653 0.303790 
0.738996 0.581026 0.803713 
0.750773 0.659658 0.384712 
0.658510 0.712353 0.834338 
0.239543 0.293466 0.305746 
0.769231 0.341639 0.288598 
0.696198 0.727668 0.298873 
0.658191 0.209501 0.768572 
0.761491 0.765822 0.737434 
0.252105 0.280484 0.298778 
0.635896 0.706335 0.816182 
0.674564 0.200497 0.327719 
0.781694 0.709665 0.301105 
0.266737 0.354253 0.237239 
0.188122 0.389937 0.358490 
0.714220 0.286566 0.316097 
0.748500 0.769608 0.833465 
0.620213 0.629210 0.332457 
0.691616 0.194676 0.374115 
0.563451 0.676530 0.314316 
0.667257 0.744826 0.756462 
0.240891 0.380426 0.330570 
0.638355 0.626105 0.884605 
0.761728 0.753307 0.270741 
0.230191 0.362291 0.371413 
0.660764 0.239620 0.227821 
0.695630 0.685417 0.768328 
0.682238 0.592959 0.342797 
0.233792 0.360986 0.230941 
0.683805 0.277400 0.363518 
0.157648 0.779954 0.340077 
0.706543 0.280718 0.313472 
0.692576 0.631702 0.708227 
0.256051 0.272016 0.309007 
0.654178 0.669009 0.786464 
0.202931 0.234687 0.285767 
0.257430 0.727518 0.315078 
0.741127 0.260371 0.299989 
0.796371 0.314089 0.339948 
0.185338 0.271608 0.247898 
0.755600 0.767925 0.426260 
0.707217 0.643536 0.746689 
0.584856 0.645371 0.774734 
0.217993 0.294383 0.242574 
0.737796 0.306899 0.712736 
0.774463 0.598907 0.289285 
0.211663 0.309022 0.310435 
