"Rc/Ra" "d37Cl" "d81Br" 
0.648715 0.228821 0.155112 
0.697071 0.777661 0.662128 
0.147222 0.415491 0.507074 
0.601606 0.199157 0.244078 
0.749126 0.697030 0.720484 
0.137630 0.539787 0.498626 
0.719179 0.728038 0.661111 
0.199918 0.464538 0.545541 
0.617075 0.218481 0.175465 
0.180179 0.478187 0.488044 
0.598353 0.280251 0.151404 
0.754115 0.754213 0.722910 
0.127054 0.479519 0.559583 
0.720658 0.716417 0.709963 
0.638072 0.270424 0.124448 
0.716559 0.732928 0.662748 
0.650750 0.245887 0.183571 
0.185568 0.485202 0.531558 
0.158379 0.439198 0.471928 
0.719210 0.761574 0.723741 
0.628473 0.276830 0.146042 
0.708249 0.798487 0.635179 
0.657084 0.674515 0.257757 
0.658177 0.271754 0.698526 
0.150725 0.416729 0.494964 
0.734879 0.779678 0.689019 
0.145485 0.450874 0.591589 
0.614948 0.252734 0.183559 
0.645663 0.297168 0.202846 
0.139463 0.446156 0.533943 
0.707866 0.757182 0.740791 
0.149735 0.413802 0.479536 
0.671467 0.738885 0.218858 
0.667999 0.272733 0.697176 
0.706363 0.742954 0.196176 
0.652539 0.276945 0.638878 
0.139249 0.442131 0.519142 
0.124792 0.397175 0.522641 
0.676393 0.307379 0.690548 
0.669583 0.770415 0.235574 
0.158574 0.473181 0.505984 
0.627886 0.276869 0.224792 
0.739702 0.776882 0.664736 
0.630777 0.246895 0.223868 
0.725376 0.779969 0.623506 
0.160449 0.507621 0.567275 
0.760434 0.704252 0.711130 
0.650540 0.730438 0.307875 
0.525861 0.193597 0.206530 
0.179887 0.500068 0.526067 
0.164400 0.448592 0.550110 
0.645463 0.244158 0.132621 
0.705285 0.732273 0.631720 
0.196574 0.475658 0.500888 
0.659708 0.255395 0.211881 
0.731911 0.743599 0.709650 
0.633384 0.252448 0.148970 
0.715532 0.715426 0.644299 
0.170368 0.448279 0.575254 
0.722374 0.786755 0.650117 
0.625023 0.256775 0.154414 
0.206957 0.478844 0.535333 
0.612162 0.245945 0.230570 
0.749007 0.753498 0.690889 
0.169730 0.465975 0.546994 
0.758519 0.741274 0.633781 
0.177743 0.491387 0.584232 
0.615150 0.267669 0.135380 
0.166889 0.484862 0.597472 
0.760931 0.748278 0.702266 
0.612310 0.250660 0.180592 
0.644440 0.702197 0.300190 
0.582891 0.210756 0.641670 
0.745763 0.732676 0.683429 
0.131591 0.449184 0.562890 
0.646642 0.365802 0.216720 
0.169987 0.489381 0.546116 
0.654653 0.263445 0.225133 
0.687750 0.709568 0.707674 
0.709363 0.779116 0.674446 
0.135107 0.461677 0.501620 
0.631373 0.246200 0.146074 
0.710803 0.794268 0.635845 
0.155644 0.462756 0.568193 
0.638748 0.293367 0.128574 
0.606329 0.206747 0.262634 
0.145052 0.525449 0.548845 
0.742328 0.701629 0.646362 
0.158606 0.448110 0.521432 
0.718607 0.739898 0.637979 
0.656208 0.288770 0.154504 
0.754982 0.704785 0.719752 
0.623713 0.234965 0.200341 
0.135074 0.503153 0.541630 
0.753771 0.739883 0.719482 
0.644790 0.256984 0.231854 
0.152897 0.475344 0.521384 
0.121119 0.487217 0.517124 
